0,JERUK NAMBANGAN MANALAGI,250006,250006,7,2150000,4,2,0,15,0,0,5,0,0,0,0,0,0
1,PEAR SINGO SUNPRIDE **,250065,250065,7,2380000,4,2,0,15,0,0,5,0,0,0,0,0,0
2,ANGGUR AUTUM #,251052,251052,7,7980000,4,2,0,15,0,0,5,0,0,0,0,0,0
3,APEL USA WASHINGTON #,255014,255014,7,4460000,4,2,0,15,0,0,5,0,0,0,0,0,0
4,PEAR XIANG LIE -N,255016,255016,7,3290000,4,2,0,15,0,0,5,0,0,0,0,0,0
5,APEL FUJI SUNMOON- #,255017,255017,7,4650000,4,2,0,15,0,0,5,0,0,0,0,0,0
6,BLIMBING ,255019,255019,7,1400000,4,2,0,15,0,0,5,0,0,0,0,0,0
7,SALAK PONDO ,255020,255020,7,1365000,4,2,0,15,0,0,5,0,0,0,0,0,0
8,JRK SUNKIST VALENCIA USA,255023,255023,7,3950000,4,2,0,15,0,0,5,0,0,0,0,0,0
9,JAMBU  BANGKOK #,255025,255025,7,1170000,4,2,0,15,0,0,5,0,0,0,0,0,0
10,MIX FRUIT -2-N,255043,255043,7,750000,4,2,0,15,0,0,5,0,0,0,0,0,0
11,SEMANGKA MERAH,255045,255045,7,650000,4,2,0,15,0,0,5,0,0,0,0,0,0
12,MIX FRUIT -3-N,255046,255046,7,1000000,4,2,0,15,0,0,5,0,0,0,0,0,0
13,BUAH NAGA IMPORT  #,255050,255050,7,1875000,4,2,0,15,0,0,5,0,0,0,0,0,0
14,PEPAYA CALIFORNIA,255071,255071,7,850000,4,2,0,15,0,0,5,0,0,0,0,0,0
15,PEAR YA LIE #,255080,255080,7,990000,4,2,0,15,0,0,5,0,0,0,0,0,0
16,APEL ROYAL GALA USA,255081,255081,7,3600000,4,2,0,15,0,0,5,0,0,0,0,0,0
17,JAMBU BIJI MERAH,255001,255001,7,850000,4,2,0,15,0,0,5,0,0,0,0,0,0
18,MANGGIS #,255003,255003,7,2360000,4,2,0,15,0,0,5,0,0,0,0,0,0
19,PEAR GOLDEN #,255006,255006,7,2560000,4,2,0,15,0,0,5,0,0,0,0,0,0
20,JRK VALENSIA MESIR,255008,255008,7,4050000,4,2,0,15,0,0,5,0,0,0,0,0,0
21,MELON #,255010,255010,7,930000,4,2,0,15,0,0,5,0,0,0,0,0,0
22,APEL FUJI RRT,255013,255013,7,2570000,4,2,0,15,0,0,5,0,0,0,0,0,0
23,SEMANGKA BABY #,255028,255028,7,630000,4,2,0,15,0,0,5,0,0,0,0,0,0
24,JERUK JAVA #,255029,255029,7,780000,4,2,0,15,0,0,5,0,0,0,0,0,0
25,PEPAYA THAILAND -N,255031,255031,7,720000,4,2,0,15,0,0,5,0,0,0,0,0,0
26,ANGGUR HIJAU  #,255032,255032,7,7250000,4,2,0,15,0,0,5,0,0,0,0,0,0
27,PISANG CAVENDIS #,255037,255037,7,1520000,4,2,0,15,0,0,5,0,0,0,0,0,0
28,KIWI GOLD SUNPRIDE #,255039,255039,7,9800000,4,2,0,15,0,0,5,0,0,0,0,0,0
29,JERUK SUNKIST  NAVEL ,255054,255054,7,3950000,4,2,0,15,0,0,5,0,0,0,0,0,0
30,NANAS,255055,255055,7,780000,4,2,0,15,0,0,5,0,0,0,0,0,0
31,MIX FRUIT - N,255057,255057,7,500000,4,2,0,15,0,0,5,0,0,0,0,0,0
32,SEMANGKA KUNING #,255058,255058,7,675000,4,2,0,15,0,0,5,0,0,0,0,0,0
33,ROCK MELON#,255059,255059,7,1150000,4,2,0,15,0,0,5,0,0,0,0,0,0
34,APEL MANALAGI-#,255062,255062,7,2760000,4,2,0,15,0,0,5,0,0,0,0,0,0
35,APEL BATU,255063,255063,7,3250000,4,2,0,15,0,0,5,0,0,0,0,0,0
36,PEAR CENTURY #,255084,255084,7,2475000,4,2,0,15,0,0,5,0,0,0,0,0,0
37,SWEET PEAR #,255088,255088,7,2070000,4,2,0,15,0,0,5,0,0,0,0,0,0
38,JERUK KINO#,255090,255090,7,2190000,4,2,0,15,0,0,5,0,0,0,0,0,0
39,JERUK KEPROK PONKAM #,255093,255093,7,1970000,4,2,0,15,0,0,5,0,0,0,0,0,0
40,KIWI GREEN #,255094,255094,7,4200000,4,2,0,15,0,0,5,0,0,0,0,0,0
41,PEAR  PACHAM #,255099,255099,7,3690000,4,2,0,15,0,0,5,0,0,0,0,0,0
42,PEAR KOREA ASLI,255106,255106,7,3820000,4,2,0,15,0,0,5,0,0,0,0,0,0
43,JRK IMPERIAL ,255107,255107,7,3120000,4,2,0,15,0,0,5,0,0,0,0,0,0
44,APEL GREEN SMITH- #,255109,255109,7,4250000,4,2,0,15,0,0,5,0,0,0,0,0,0
45,BUAH  SIRSAT #,255124,255124,7,1215000,4,2,0,15,0,0,5,0,0,0,0,0,0
46,PEPINO #,255139,255139,7,1300000,4,2,0,15,0,0,5,0,0,0,0,0,0
47, NAGA MERAH ,255141,255141,7,2470000,4,2,0,15,0,0,5,0,0,0,0,0,0
48,PEAR SINGO RRT,255148,255148,7,2320000,4,2,0,15,0,0,5,0,0,0,0,0,0
49,BAWANG MERAH,255149,255149,7,3250000,4,2,0,15,0,0,5,0,0,0,0,0,0
50,PEAR GOLDEN SUNPRET #,256289,256289,7,2710000,4,2,0,15,0,0,5,0,0,0,0,0,0
51,STRAWBERRY  ALE C #,256494,256494,7,650000,4,2,0,15,0,0,5,0,0,0,0,0,0
52,BAWANG PUTIH,256645,256645,7,1690000,4,2,0,15,0,0,5,0,0,0,0,0,0
53,BAWANG BOMBAY,256835,256835,7,3900000,4,2,0,15,0,0,5,0,0,0,0,0,0
54,TOMAT CURAH,256895,256895,7,910000,4,2,0,15,0,0,5,0,0,0,0,0,0
55,ANGGUR RED USA,259717,259717,7,6050000,4,2,0,15,0,0,5,0,0,0,0,0,0
56,APEL FUJI PREMIUM #,259723,259723,7,4350000,4,2,0,15,0,0,5,0,0,0,0,0,0
57,UBI MADU CILEMBU #,259708,259708,7,650000,4,2,0,15,0,0,5,0,0,0,0,0,0
58,MARLBORO BLACK MENTHOL#,271204,271204,7,1550000,4,2,0,15,0,0,5,0,0,0,0,0,0
59,MARLBORO LIGHT 20 #,271205,271205,7,1560000,4,2,0,15,0,0,5,0,0,0,0,0,0
60,MARLBORO MENTHOL FF 20*,271206,271206,7,1530000,4,2,0,15,0,0,5,0,0,0,0,0,0
61,MARLBORO MENTHOL LIGHT*,271207,271207,7,1550000,4,2,0,15,0,0,5,0,0,0,0,0,0
62,SAMPOERNA KRETEK 12 #,271208,271208,7,760000,4,2,0,15,0,0,5,0,0,0,0,0,0
63,SAMPOERNA PAS 12*,271209,271209,7,570000,4,2,0,15,0,0,5,0,0,0,0,0,0
64,U MILD 16 #,271210,271210,7,920000,4,2,0,15,0,0,5,0,0,0,0,0,0
65,LA LIGHT 12S #,271229,271229,7,930000,4,2,0,15,0,0,5,0,0,0,0,0,0
66,LA LIGHTS 16S,271230,271230,7,1260000,4,2,0,15,0,0,5,0,0,0,0,0,0
67,LA MENTHOL 12S*,271231,271231,7,930000,4,2,0,15,0,0,5,0,0,0,0,0,0
68,LA MENTHOL 16 #,271232,271232,7,1260000,4,2,0,15,0,0,5,0,0,0,0,0,0
69,BENTOEL BIRU 12 #,271233,271233,7,1150000,4,2,0,15,0,0,5,0,0,0,0,0,0
70,COUNTRY MERAH #,271234,271234,7,1270000,4,2,0,15,0,0,5,0,0,0,0,0,0
71,COUNTRY PUTIH #,271235,271235,7,1290000,4,2,0,15,0,0,5,0,0,0,0,0,0
72,DUNHIL LIGHT #,271237,271237,7,1720000,4,2,0,15,0,0,5,0,0,0,0,0,0
73,LUCKY STRIKE FILTER #,271240,271240,7,1370000,4,2,0,15,0,0,5,0,0,0,0,0,0
74,ENDOG  AYAM KAMPUNG*,271253,271253,7,1020000,4,2,0,15,0,0,5,0,0,0,0,0,0
75,TELOR HORN CURAH,271254,271254,7,1650000,4,2,0,15,0,0,5,0,0,0,0,0,0
76,DJARUM SUPER 12 #,271255,271255,7,1130000,4,2,0,15,0,0,5,0,0,0,0,0,0
77,BERAS MERAH CAP ORANG SHT 2KG,271257,271257,7,4170000,4,2,0,15,0,0,5,0,0,0,0,0,0
78,SURYA PROMILD #,271258,271258,7,950000,4,2,0,15,0,0,5,0,0,0,0,0,0
79,DJARUM COKLAT  EXTRA #,271259,271259,7,810000,4,2,0,15,0,0,5,0,0,0,0,0,0
80,BERAS ORGANIC KALIANDRA 1kg,271261,271261,7,2480000,4,2,0,15,0,0,5,0,0,0,0,0,0
81,CLAS  MILD 16 #,271263,271263,7,1270000,4,2,0,15,0,0,5,0,0,0,0,0,0
82,BENTOEL SEJATI  12 #,271264,271264,7,610000,4,2,0,15,0,0,5,0,0,0,0,0,0
83,A MILD-12 #,271192,271192,7,1010000,4,2,0,15,0,0,5,0,0,0,0,0,0
84,A MILD-16,271193,271193,7,1400000,4,2,0,15,0,0,5,0,0,0,0,0,0
85,A VOLUTION METHOL 16*,271194,271194,7,1490000,4,2,0,15,0,0,5,0,0,0,0,0,0
86,A VOLUTION REG 16*,271195,271195,7,1490000,4,2,0,15,0,0,5,0,0,0,0,0,0
87,A MILD METHOL 16 #,271196,271196,7,1400000,4,2,0,15,0,0,5,0,0,0,0,0,0
88,DJISAMSOE K-16*,271197,271197,7,1440000,4,2,0,15,0,0,5,0,0,0,0,0,0
89,DJISAMSOE K-12,271198,271198,7,1240000,4,2,0,15,0,0,5,0,0,0,0,0,0
90,DJIOSAMSOE REFF-12 #,271199,271199,7,1620000,4,2,0,15,0,0,5,0,0,0,0,0,0
91,DISAMSOE MAGNUM FILTER 12 #,271203,271203,7,1180000,4,2,0,15,0,0,5,0,0,0,0,0,0
92,BERAS DIABET STEAM RICE 2 KG#,271221,271221,7,5590000,4,2,0,15,0,0,5,0,0,0,0,0,0
93,BERAS STEAM RICE 5 KG#,271222,271222,7,14350000,4,2,0,15,0,0,5,0,0,0,0,0,0
94,DJARUM 76 12S #,271225,271225,7,770000,4,2,0,15,0,0,5,0,0,0,0,0,0
95,GG SURYA  16 EXCLUSIVE#,271227,271227,7,1550000,4,2,0,15,0,0,5,0,0,0,0,0,0
96,LUCKY STRIKE LIGHT #,271241,271241,7,1370000,4,2,0,15,0,0,5,0,0,0,0,0,0
97,LUCKY STRIKE MENTHOL LIGHT #,271242,271242,7,1370000,4,2,0,15,0,0,5,0,0,0,0,0,0
98,PALL MALL FILTER #,271243,271243,7,1120000,4,2,0,15,0,0,5,0,0,0,0,0,0
99,PALL MALL LIGHT #,271244,271244,7,1120000,4,2,0,15,0,0,5,0,0,0,0,0,0
100,PALL MALL MENTHOL LIGHT #,271245,271245,7,1120000,4,2,0,15,0,0,5,0,0,0,0,0,0
101,STAR MILD LOSTA 16 #,271246,271246,7,1260000,4,2,0,15,0,0,5,0,0,0,0,0,0
102,UNO MILD #,271247,271247,7,1000000,4,2,0,15,0,0,5,0,0,0,0,0,0
103,MARLBORO RED 20,271248,271248,7,1540000,4,2,0,15,0,0,5,0,0,0,0,0,0
104,CLAS MILD 12 #,271249,271249,7,920000,4,2,0,15,0,0,5,0,0,0,0,0,0
105,SURYA-16,271250,271250,7,1410000,4,2,0,15,0,0,5,0,0,0,0,0,0
106,SURYA-12,271251,271251,7,1060000,4,2,0,15,0,0,5,0,0,0,0,0,0
107,INTERNASIONAL-12,271252,271252,7,1120000,4,2,0,15,0,0,5,0,0,0,0,0,0
108,DUNHILL SWITCH  20`S #,271265,271265,7,1720000,4,2,0,15,0,0,5,0,0,0,0,0,0
109,BERAS HOTEL SG FREE WHITE RICE 2KG#,271267,271267,7,5000000,4,2,0,15,0,0,5,0,0,0,0,0,0
110,MILGSEVEN ICE MENTHOL 20,271269,271269,7,1710000,4,2,0,15,0,0,5,0,0,0,0,0,0
111,WISMILAK DIPLOMAT 12#,271273,271273,7,1200000,4,2,0,15,0,0,5,0,0,0,0,0,0
112,WISMILAK SLIM 16#,271274,271274,7,800000,4,2,0,15,0,0,5,0,0,0,0,0,0
113,WISMILAK GALAN MILD 16#,271275,271275,7,800000,4,2,0,15,0,0,5,0,0,0,0,0,0
114,JERUK LEMON  RRT,259728,259728,7,4300000,4,2,0,15,0,0,5,0,0,0,0,0,0
115,APEL USA  CHERRY #,259730,259730,7,4400000,4,2,0,15,0,0,5,0,0,0,0,0,0
116,HOTEL BERAS MERAH DIET 2KG#,271260,271260,7,3300000,4,2,0,15,0,0,5,0,0,0,0,0,0
117,HOLISTIC BIO ORGANIC PUTIH 2KG#,271224,271224,7,6270000,4,2,0,15,0,0,5,0,0,0,0,0,0
118,JERUK nambangan,259739,259739,7,1170000,4,2,0,15,0,0,5,0,0,0,0,0,0
119,DUNHIL FILTER #,271236,271236,7,1720000,4,2,0,15,0,0,5,0,0,0,0,0,0
120,BERAS BRAMO CAP DUNIA 5KG,271279,271279,7,4950000,4,2,0,15,0,0,5,0,0,0,0,0,0
121,DJI SAM SOE 99,271202,271202,7,1290000,4,2,0,15,0,0,5,0,0,0,0,0,0
122,BLIMBING MADU ,259763,259763,7,1625000,4,2,0,15,0,0,5,0,0,0,0,0,0
123,MILD SEVEN LIGHTS ,271280,271280,7,1710000,4,2,0,15,0,0,5,0,0,0,0,0,0
124,MILD SEVEN ORIGINAL ,271281,271281,7,1710000,4,2,0,15,0,0,5,0,0,0,0,0,0
125,KESEMEK,255070,255070,7,1200000,4,2,0,15,0,0,5,0,0,0,0,0,0
126,.BERAS CAP ENTONG MAS 5KG,271212,271212,7,4700000,4,2,0,15,0,0,5,0,0,0,0,0,0
127,BERAS MERAH ORGANIK 2.5 KG #,271218,271218,7,4180000,4,2,0,15,0,0,5,0,0,0,0,0,0
128,BERAS RAJALELE SPC 5 KG#,271220,271220,7,5740000,4,2,0,15,0,0,5,0,0,0,0,0,0
129,BERAS CIANJUR 5 KG #,271216,271216,7,5740000,4,2,0,15,0,0,5,0,0,0,0,0,0
130,BERAS PANDAN WANGI 5 KG#,271219,271219,7,5830000,4,2,0,15,0,0,5,0,0,0,0,0,0
131,.HOLISTIC BIO ORGANIC MERAH 2KG  ,271223,271223,7,6820000,4,2,0,15,0,0,5,0,0,0,0,0,0
132,BERAS PUNEL DONALD 5KG#,271262,271262,7,4950000,4,2,0,15,0,0,5,0,0,0,0,0,0
133,BERAS MENTIK MANALAGI 5 KG#,271217,271217,7,5830000,4,2,0,15,0,0,5,0,0,0,0,0,0
134,ANGGUR RED JUMBO,259779,259779,7,8950000,4,2,0,15,0,0,5,0,0,0,0,0,0
135,BERAS ORGANIC MERAH KALIANDRA 2kg,271272,271272,7,4900000,4,2,0,15,0,0,5,0,0,0,0,0,0
136,DIPOLMAT MILD 16,271268,271268,7,790000,4,2,0,15,0,0,5,0,0,0,0,0,0
137,MENTARIKU BRS RAJA HITAM 1KG,271282,271282,7,3650000,4,2,0,15,0,0,5,0,0,0,0,0,0
138,MENTARIKU BRS RAJA HITAM 2.5KG,271283,271283,7,9100000,4,2,0,15,0,0,5,0,0,0,0,0,0
139,MENTARIKU BRS RATU MERAH 1KG,271284,271284,7,2620000,4,2,0,15,0,0,5,0,0,0,0,0,0
140,MENTARIKU BRS RATU MERAH 2.5KG,271285,271285,7,6550000,4,2,0,15,0,0,5,0,0,0,0,0,0
141,MENTARIKU BRS RATU PULEN WANGI 2.5KG,271270,271270,7,6150000,4,2,0,15,0,0,5,0,0,0,0,0,0
142,MENTARIKU BRS PANGERAN WG PLN 2.5KG,271271,271271,7,5610000,4,2,0,15,0,0,5,0,0,0,0,0,0
143,MENTARIKU BRS PUTRI PUTIH PLN 2.5KG,271286,271286,7,5340000,4,2,0,15,0,0,5,0,0,0,0,0,0
144,MARLBORO ICE BLAST 20,271287,271287,7,1660000,4,2,0,15,0,0,5,0,0,0,0,0,0
145,PEAR SINCO KOREA,259784,259784,7,2450000,4,2,0,15,0,0,5,0,0,0,0,0,0
146,D.76 FILTER GOLD,271288,271288,7,830000,4,2,0,15,0,0,5,0,0,0,0,0,0
147,D.SUPER MILD 16,271289,271289,7,1200000,4,2,0,15,0,0,5,0,0,0,0,0,0
148,D.BLACK MILD 16,271290,271290,7,1030000,4,2,0,15,0,0,5,0,0,0,0,0,0
149,BRS MRH ORGANIK OLAM 2kG,271291,271291,7,3770000,4,2,0,15,0,0,5,0,0,0,0,0,0
150,BRS MRH ORGANIC GOLD RABBIT 1kG,271292,271292,7,1950000,4,2,0,15,0,0,5,0,0,0,0,0,0
151,HOTEL BLACK RICE ORGANIC 800g,271293,271293,7,3140000,4,2,0,15,0,0,5,0,0,0,0,0,0
152,FLORES ORGANIC BRS MERAH 2kg,271294,271294,7,4500000,4,2,0,15,0,0,5,0,0,0,0,0,0
153,FLORES ORGANIC BRS COKLAT,271295,271295,7,3690000,4,2,0,15,0,0,5,0,0,0,0,0,0
154,HOTEL RAINBOW RICE ORGANIC 800g,271296,271296,7,2420000,4,2,0,15,0,0,5,0,0,0,0,0,0
155,BERAS PUNEL BP Banyuwangi 10kg,271297,271297,7,8550000,4,2,0,15,0,0,5,0,0,0,0,0,0
156,BERAS PUNEL BP Banyuwangi 5kg,271298,271298,7,4525000,4,2,0,15,0,0,5,0,0,0,0,0,0
